Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 F:_3 sel(B):_4 dead(B):_4 retain(B):_4 sel(N):_4 dead(N):_4 retain(N):_4 obs_cat:_4 F:_4 sel(B):_5 dead(B):_5 retain(B):_5 sel(N):_5 dead(N):_5 retain(N):_5 obs_cat:_5 F:_5 SSB_vir_LH ABC_buffer
1 1950 TIME 1 1518.51 1500.21 854.763 703.161  854.763  1019.55 480.661  976.61 782.132  9.73 9.73 9.73 7.09528 7.09528 7.09528 9.73 0.00744248  0 0 0 0 0 0 0 0  39.63 39.63 39.63 31.7513 31.7513 31.7513 39.63 0.0322663  21.71 21.71 21.71 10.2473 10.2473 10.2473 21.71 0.0297189  0 0 0 0 0 0 0 0 854.763 NA
1 1951 TIME 1 1480.16 1461.93 826.275 700.225  826.275  989.88 472.053  961.919 773.054  11.02 11.02 11.02 8.10245 8.10245 8.10245 11.02 0.00869384  0 0 0 0 0 0 0 0  46.94 46.94 46.94 38.0148 38.0148 38.0148 46.94 0.0394408  24.67 24.67 24.67 11.7272 11.7272 11.7272 24.67 0.0351104  0 0 0 0 0 0 0 0 826.275 NA
1 1952 TIME 1 1436.76 1418.61 794.396 696.723  794.396  956.455 462.156  944.987 762.406  15.91 15.91 15.91 11.7841 11.7841 11.7841 15.91 0.0128397  0 0 0 0 0 0 0 0  24.47 24.47 24.47 20.0012 20.0012 20.0012 24.47 0.0210448  15.6 15.6 15.6 7.4657 7.4657 7.4657 15.6 0.0228796  0 0 0 0 0 0 0 0 794.396 NA
1 1953 TIME 1 1421.6 1403.53 782.432 695.344  782.432  944.487 459.047  940.814 759.766  6.14 6.14 6.14 4.57359 4.57359 4.57359 6.14 0.00500252  0 0 0 0 0 0 0 0  17.22 17.22 17.22 14.1621 14.1621 14.1621 17.22 0.0149609  29.67 29.67 29.67 14.2813 14.2813 14.2813 29.67 0.0441991  0 0 0 0 0 0 0 0 782.432 NA
1 1954 TIME 1 1413.37 1395.34 774.026 694.354  774.026  936.373 458.964  938.787 759.877  2.87 2.87 2.87 2.14872 2.14872 2.14872 2.87 0.00234991  0 0 0 0 0 0 0 0  12.82 12.82 12.82 10.5963 10.5963 10.5963 12.82 0.0112015  35.6 35.6 35.6 17.236 17.236 17.236 35.6 0.0536109  0 0 0 0 0 0 0 0 774.026 NA
1 1955 TIME 1 1409.33 1391.32 768.745 693.722  768.745  931.25 460.071  937.976 761.008  3.2 3.2 3.2 2.4045 2.4045 2.4045 3.2 0.00262719  0 0 0 0 0 0 0 0  11.39 11.39 11.39 9.44706 9.44706 9.44706 11.39 0.00998448  37.04 37.04 37.04 18.0202 18.0202 18.0202 37.04 0.0561845  0 0 0 0 0 0 0 0 768.745 NA
1 1956 TIME 1 1406.36 1388.37 764.922 693.259  764.922  927.358 461.014  937.025 761.679  5.68 5.68 5.68 4.28606 4.28606 4.28606 5.68 0.0047219  0 0 0 0 0 0 0 0  24.95 24.95 24.95 20.7997 20.7997 20.7997 24.95 0.0221551  52.12 52.12 52.12 25.4876 25.4876 25.4876 52.12 0.0804469  0 0 0 0 0 0 0 0 764.922 NA
1 1957 TIME 1 1378.13 1360.16 743.498 690.593  743.498  904.522 455.637  924.758 755.185  5.74 5.74 5.74 4.35846 4.35846 4.35846 5.74 0.00487801  0 0 0 0 0 0 0 0  22.31 22.31 22.31 18.7538 18.7538 18.7538 22.31 0.0202604  55.9 55.9 55.9 27.5162 27.5162 27.5162 55.9 0.0887994  0 0 0 0 0 0 0 0 743.498 NA
1 1958 TIME 1 1352.53 1334.63 723.511 687.984  723.511  883.665 450.966  914.788 750.275  8.96 8.96 8.96 6.83114 6.83114 6.83114 8.96 0.00769728  0 0 0 0 0 0 0 0  15.66 15.66 15.66 13.2295 13.2295 13.2295 15.66 0.0143806  32.16 32.16 32.16 15.9007 15.9007 15.9007 32.16 0.0518738  0 0 0 0 0 0 0 0 723.511 NA
1 1959 TIME 1 1351.54 1333.69 722.588 687.86  722.588  882.911 450.781  914.926 749.865  4.38 4.38 4.38 3.33985 3.33985 3.33985 4.38 0.00375128  0 0 0 0 0 0 0 0  18.29 18.29 18.29 15.4426 15.4426 15.4426 18.29 0.016747  23.77 23.77 23.77 11.7613 11.7613 11.7613 23.77 0.0382384  0 0 0 0 0 0 0 0 722.588 NA
1 1960 TIME 1 1358.99 1341.15 728.575 688.657  728.575  889.034 452.113  917.409 750.384  1.41 1.41 1.41 1.07304 1.07304 1.07304 1.41 0.00119611  0 0 0 0 0 0 0 0  13.04 13.04 13.04 10.9745 10.9745 10.9745 13.04 0.0118264  22.58 22.58 22.58 11.1597 11.1597 11.1597 22.58 0.0359151  0 0 0 0 0 0 0 0 728.575 NA
1 1961 TIME 1 1373.73 1355.86 739.645 690.1  739.645  900.458 455.397  923.073 753.421  2.28 2.28 2.28 1.72919 1.72919 1.72919 2.28 0.00191021  0 0 0 0 0 0 0 0  13.01 13.01 13.01 10.898 10.898 10.898 13.01 0.0116509  19.12 19.12 19.12 9.42579 9.42579 9.42579 19.12 0.0299353  0 0 0 0 0 0 0 0 739.645 NA
