Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 Hrate:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 Hrate:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 Hrate:_3 sel(B):_4 dead(B):_4 retain(B):_4 sel(N):_4 dead(N):_4 retain(N):_4 obs_cat:_4 Hrate:_4 sel(B):_5 dead(B):_5 retain(B):_5 sel(N):_5 dead(N):_5 retain(N):_5 obs_cat:_5 Hrate:_5 SSB_vir_LH ABC_buffer
1 1939 TIME 1 175600 167809 86310.4 47097.6  86310.4  96583.7 71225.4  101223 90942.7  42.1111 42.1111 41.69 36.5958 36.5958 36.2298 41.69 0.000302281  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  35.2438 35.2438 34.89 32.7415 32.7415 32.4128 34.89 0.000237612 86310.4 NA
1 1940 TIME 1 175267 167513 86180.2 46806.3  86180.2  96420.9 71092.3  100992 90729.2  76.0303 76.0303 75.27 66.0571 66.0571 65.3965 75.27 0.000546603  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  45.8301 45.8301 45.37 42.5628 42.5628 42.1355 45.37 0.000309491 86180.2 NA
1 1941 TIME 1 174854 167141 86011.1 46481.4  86011.1  96214.4 70926.6  100714 90473.4  94.5253 94.5253 93.58 82.1056 82.1056 81.2846 93.58 0.000680931  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  36.3045 36.3045 35.94 33.7053 33.7053 33.3669 35.94 0.00024568 86011.1 NA
1 1942 TIME 1 174393 166725 85822 46120.6  85822  95983.8 70741.6  100404 90188.6  134.717 134.717 133.37 116.985 116.985 115.815 133.37 0.000972643  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  13.4046 13.4046 13.27 12.4404 12.4404 12.3155 13.27 9.09249e-05 85822 NA
1 1943 TIME 1 173871 166255 85606.5 45730.2  85606.5  95722.1 70532.7  100055 89868.6  473.455 473.455 468.72 411.015 411.015 406.905 468.72 0.00342704  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  22.1322 22.1322 21.91 20.5322 20.5322 20.3261 21.91 0.000150527 85606.5 NA
1 1944 TIME 1 172974 165414 85183.9 45312.3  85183.9  95241.8 70172.1  99520.1 89387.5  930.626 930.626 921.32 807.762 807.762 799.684 921.32 0.00676987  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  39.7692 39.7692 39.37 36.8871 36.8871 36.5168 39.37 0.000271844 85183.9 NA
1 1945 TIME 1 171603 164105 84494.9 44866.7  84494.9  94483.5 69621.6  98758.3 88712  1569.14 1569.14 1553.45 1362.08 1362.08 1348.46 1553.45 0.0115078  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  68.6088 68.6088 67.92 63.6457 63.6457 63.0067 67.92 0.000472767 84494.9 NA
1 1946 TIME 1 169611 162180 83450.5 44395.6  83450.5  93356.8 68822.7  97706 87788.8  1100.08 1100.08 1089.08 955.353 955.353 945.799 1089.08 0.00816821  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  71.6998 71.6998 70.98 66.5577 66.5577 65.8895 70.98 0.00050009 83450.5 NA
1 1947 TIME 1 168115 160754 82691.1 43950.9  82691.1  92525.2 68228.5  96888.5 87064.7  556.768 556.768 551.2 483.685 483.685 478.848 551.2 0.0041715  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  92.943 92.943 92.01 86.3119 86.3119 85.4455 92.01 0.000654054 82691.1 NA
1 1948 TIME 1 167122 159835 82231.2 43532.3  82231.2  91996.9 67838.4  96290.8 86524.3  441.212 441.212 436.8 383.318 383.318 379.485 436.8 0.00332378  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  41.2743 41.2743 40.86 38.3267 38.3267 37.9419 40.86 0.000292062 82231.2 NA
1 1949 TIME 1 166251 159038 81853.9 43142.5  81853.9  91544.3 67493.8  95722.6 86005.1  333.162 333.162 329.83 289.396 289.396 286.502 329.83 0.00252111  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  44.9715 44.9715 44.52 41.7439 41.7439 41.3248 44.52 0.000319717 81853.9 NA
1 1950 TIME 1 165422 158279 81513 42807.8  81513  91119.7 67159.7  95144.1 85472  363.091 363.091 359.46 315.266 315.266 312.113 359.46 0.00275898  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  64.8005 64.8005 64.15 60.1105 60.1105 59.507 64.15 0.000462718 81513 NA
