Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 F:_3 SSB_vir_LH ABC_buffer
1 1923 TIME 1 335206 317359 134441 11152.4  134441  161297 156061  68645.8 89459.8  1341.72 1275.63 1259.02 657.465 611.96 599.97 1259.02 0.0147492  0 0 0 0 0 0 0 0  187.716 178.605 169.434 139.212 122.177 104.719 169.434 0.0025447 134441 NA
1 1924 TIME 1 331274 313676 132710 10980.1  132710  159196 154480  67736.3 88531.3  1635.75 1555.2 1534.96 801.444 745.986 731.374 1534.96 0.018251  0 0 0 0 0 0 0 0  325.398 309.635 293.77 241.152 211.685 181.488 293.77 0.0044693 132710 NA
1 1925 TIME 1 326912 309597 130764 9775.53  130764  156838 152759  66717.9 87522.3  1992.13 1894.01 1869.37 976.003 908.457 890.745 1869.37 0.0226118  0 0 0 0 0 0 0 0  251.849 239.664 227.407 186.515 163.74 140.45 227.407 0.00350889 130764 NA
1 1926 TIME 1 322007 305222 128637 9913.06  128637  154265 150957  65609 86467  1746.91 1660.85 1639.23 855.999 796.771 781.218 1639.23 0.0201735  0 0 0 0 0 0 0 0  60.9645 58.1339 55.2854 44.5961 39.3794 34.0351 55.2854 0.000866154 128637 NA
1 1927 TIME 1 317324 301233 126714 9490.01  126714  151958 149275  64626.1 85487.3  2350.99 2235.1 2205.99 1152.24 1072.49 1051.57 2205.99 0.0276489  0 0 0 0 0 0 0 0  344.153 328.351 312.45 250.641 221.253 191.157 312.45 0.00500279 126714 NA
1 1928 TIME 1 311579 296474 124330 9250.06  124330  149145 147329  63422.4 84352.9  1940.63 1844.96 1820.93 951.218 885.402 868.146 1820.93 0.0232608  0 0 0 0 0 0 0 0  317.661 303.187 288.622 230.251 203.342 175.777 288.622 0.0047466 124330 NA
1 1929 TIME 1 306056 291145 122070 9450.82  122070  146123 145023  61976.7 82870.9  1933.65 1838.7 1814.85 946.475 881.288 864.156 1814.85 0.0236768  0 0 0 0 0 0 0 0  515.041 491.792 468.389 372.353 329.157 284.86 468.389 0.00783588 122070 NA
1 1930 TIME 1 300310 285821 119643 9365.17  119643  143119 142702  60639.5 81472.2  2233.15 2123.94 2096.51 1091.25 1016.35 996.647 2096.51 0.0281118  0 0 0 0 0 0 0 0  490.951 468.466 445.832 356.123 314.03 270.873 445.832 0.0076278 119643 NA
1 1931 TIME 1 294348 279971 116972 9151.94  116972  139789 140182  59147.8 79945.4  1136.21 1080.75 1066.82 554.771 516.749 506.743 1066.82 0.0146626  0 0 0 0 0 0 0 0  364.263 347.366 330.36 265.243 233.621 201.216 330.36 0.00574693 116972 NA
1 1932 TIME 1 289605 275158 114916 8771.19  114916  137232 137927  58018 78595.3  1432.48 1362.68 1345.15 698.895 651.053 638.472 1345.15 0.0189364  0 0 0 0 0 0 0 0  334.457 318.935 303.315 243.819 214.86 185.201 303.315 0.00534133 114916 NA
