year,method,mase,stock_name,period,depletion,autocorrS,autocorrR,num_yrs,log_sigmaR_full,log_sigmaR_test,regime_shift,detectable_SR,region
19,AR(1),1.938544697980711,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
20,AR(1),1.6912542129912953,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
21,AR(1),1.57297094310571,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
22,AR(1),1.9279181929526268,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
23,AR(1),7.12076813299906,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
24,AR(1),6.2474720468302225,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
25,AR(1),2.593141982495637,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
1,Beverton-Holt,2.763401982631879,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
2,Beverton-Holt,2.847112061080439,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
3,Beverton-Holt,2.5783962536568015,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
4,Beverton-Holt,2.5480503176482854,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
5,Beverton-Holt,3.759465384073786,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
6,Beverton-Holt,3.126556274187307,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
7,Beverton-Holt,2.7669451770592834,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
8,Beverton-Holt,3.2537225832715984,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
9,Beverton-Holt,3.0735048922954293,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
10,Beverton-Holt,2.9814371145793115,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
11,Beverton-Holt,3.005712419989052,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
12,Beverton-Holt,3.0543721538427735,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
