year,method,mase,stock_name,period,depletion,autocorrS,autocorrR,num_yrs,log_sigmaR_full,log_sigmaR_test,regime_shift,detectable_SR,region
7,HMM,0.7387270776007975,black_wa,early,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
8,HMM,3.0494721544942145,black_wa,early,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
9,HMM,1.4388925779572814,black_wa,early,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
10,HMM,4.387312868149735,black_wa,early,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
11,HMM,3.1533693789135557,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
12,HMM,1.9901543175946497,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
13,HMM,1.943085144410713,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
14,HMM,0.9680685260582385,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
15,HMM,2.650106083947682,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
16,HMM,2.1413868180024647,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
17,HMM,2.2723204003700594,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
18,HMM,1.0521709901824905,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
19,HMM,2.8399351420273353,black_wa,mid,0.4870681332498803,0.9704115556539972,-0.12444890021241774,64,0.3425362966949715,0.39781843503420705,0,0,West Coast
