method,coverage_prob,stock_name,type
AR(1),0.9666666666666667,cabezon_scs,long
Beverton-Holt,0.9666666666666667,cabezon_scs,long
simplex,1,cabezon_scs,long
HMM,0.8,cabezon_scs,long
PELT,0.9666666666666667,cabezon_scs,long
mean,0.7777777777777778,canary,long
AR(1),0.7777777777777778,canary,long
Beverton-Holt,0.75,canary,long
simplex,0.6666666666666666,canary,long
PELT,0.7777777777777778,canary,long
mean,0.967741935483871,chilipepper,long
AR(1),0.967741935483871,chilipepper,long
Beverton-Holt,0.9354838709677419,chilipepper,long
simplex,0.967741935483871,chilipepper,long
PELT,0.8709677419354839,chilipepper,long
mean,0.6842105263157895,darkblotched,long
AR(1),0.6842105263157895,darkblotched,long
Beverton-Holt,0.6842105263157895,darkblotched,long
simplex,0.8157894736842105,darkblotched,long
PELT,0.8157894736842105,darkblotched,long
mean,0.7407407407407407,dover_sole,long
AR(1),0.6296296296296297,dover_sole,long
Beverton-Holt,0.7407407407407407,dover_sole,long
simplex,0.9259259259259259,dover_sole,long
HMM,0.7777777777777778,dover_sole,long
PELT,0.7777777777777778,dover_sole,long
mean,0.8125,kelp_greenling,long
AR(1),0.75,kelp_greenling,long
Beverton-Holt,0.75,kelp_greenling,long
simplex,0.875,kelp_greenling,long
HMM,0.6875,kelp_greenling,long
PELT,0.6875,kelp_greenling,long
mean,0.9047619047619048,lingcod_n,long
AR(1),0.8809523809523809,lingcod_n,long
Beverton-Holt,0.9047619047619048,lingcod_n,long
simplex,0.8809523809523809,lingcod_n,long
HMM,0.7857142857142857,lingcod_n,long
PELT,0.8095238095238095,lingcod_n,long
mean,1,lingcod_s,long
AR(1),1,lingcod_s,long
Beverton-Holt,0.8636363636363636,lingcod_s,long
simplex,1,lingcod_s,long
PELT,0.8181818181818182,lingcod_s,long
mean,0.8780487804878049,petrale,long
AR(1),0.8536585365853658,petrale,long
Beverton-Holt,0.9024390243902439,petrale,long
simplex,0.8536585365853658,petrale,long
PELT,0.8292682926829268,petrale,long
mean,0.78125,sablefish,long
AR(1),0.78125,sablefish,long
